Date,GDP,GDP per capita,Consumer_Confidence_Index,Population,US_Bonds_Rate_1y,Consumer_Price_Index,US_Trade_Balance,AAA_Bond_Rate,US_Debt,Credit_Card_Transactions,Corporate_Profits,Unemployment_Rate,BAA_Bond_Rate,US_Market_Cap,Effective_Rate,Market_Stress,US_Bonds_Rate_10y,PMI_Manufacturing,Money_Velocity,House_DEM,House_REP,Senate_DEM,Senate_REP,President_DEM,President_REP,Composite_VIX,DJI_close,DJI_volume,IXIC_close,IXIC_volume,SPX_close,SPX_volume
2014-01-01,16654.247,52266.0,99.3855473121065,317519.206,0.12,235.288,0.04,4.49,102.6653,2876750.0,1767.596,6.6,5.19,95.9823324715293,0.07,-0.5966,2.86,12081.0,6.294,0,1,1,0,1,0,18.40999984741211,15698.85,10058306194,4103.88,1,1782.59,75871910000
2014-02-01,16654.247,52266.0,99.457320529298,317677.384,0.12,235.547,0.05,4.45,102.6653,2848750.0,1767.596,6.7,5.1,95.3644747249166,0.07,-0.6233,2.71,12106.0,6.294,0,1,1,0,1,0,14.0,16321.71,9949171819,4308.12,1,1859.45,69725590000
2014-03-01,16654.247,52266.0,99.4903492608532,317838.92,0.13,236.028,0.05,4.38,102.6653,2779200.0,1767.596,6.7,5.06,97.5370450065864,0.08,-0.6674,2.72,12120.0,6.294,0,1,1,0,1,0,13.880000114440918,16457.66,9977792430,4198.99,1,1872.34,71885030000
2014-04-01,16868.109,52840.0,99.565131641157,318009.154,0.11,236.468,0.03,4.24,100.97295,2721000.0,1865.14,6.2,4.9,98.4552619760864,0.09,-0.6701,2.71,12134.0,6.252,0,1,1,0,1,0,13.40999984741211,16580.84,9868501071,4114.56,1,1883.95,71595810000
2014-05-01,16868.109,52840.0,99.5511818419843,318187.658,0.1,236.918,0.03,4.16,100.97295,2667400.0,1865.14,6.3,4.76,99.7269419038579,0.09,-0.7411,2.56,12146.0,6.252,0,1,1,0,1,0,11.399999618530272,16717.17,9524757987,4242.62,1,1923.57,63623630000
2014-06-01,16868.109,52840.0,99.5241327144217,318380.521,0.1,237.231,0.04,4.25,100.97295,2588750.0,1865.14,6.1,4.8,102.133842954366,0.1,-0.8537,2.6,12170.0,6.252,0,1,1,0,1,0,11.56999969482422,16826.6,9635221247,4408.18,1,1960.23,63283380000
2014-07-01,17064.616,53340.0,99.5157472834318,318576.955,0.11,237.498,0.03,4.16,100.45563,2533500.0,1917.769,6.2,4.73,102.877388907126,0.09,-0.7633,2.54,12189.0,6.256,0,1,1,0,1,0,16.950000762939453,16563.3,9571846465,4369.77,1,1930.67,66524690000
2014-08-01,17064.616,53340.0,99.6129510493997,318806.531,0.11,237.46,0.03,4.08,100.45563,2504800.0,1917.769,6.1,4.69,101.528347982128,0.09,-0.6613,2.42,12208.0,6.256,0,1,1,0,1,0,12.09000015258789,17098.45,9364251509,4580.27,1,2003.37,58131140000
2014-09-01,17064.616,53340.0,99.8222510711543,319036.2,0.11,237.477,0.02,4.11,100.45563,2447750.0,1917.769,5.9,4.8,102.387935430728,0.09,-0.579,2.53,12226.0,6.256,0,1,1,0,1,0,16.309999465942383,17042.9,9752331449,4493.39,1,1972.29,66706000000
2014-10-01,17141.235,53464.0,100.116498547969,319262.799,0.1,237.43,0.02,3.92,101.61828,2423250.0,1879.109,5.7,4.69,98.0721096278383,0.09,-0.3304,2.3,12259.0,6.144,0,1,1,0,1,0,14.029999732971191,17390.52,10194906586,4630.74,1,2018.05,93714040000
