Date,open,high,low,close,Volume,Volume MA
1981-05-01T13:30:00Z,216.68,223.47,211.55,223.47,NaN,NaN
1981-06-01T13:30:00Z,223.02,223.02,215.75,215.75,NaN,NaN
1981-07-01T13:30:00Z,214.63,214.63,206.16,211.63,NaN,NaN
1981-08-03T13:30:00Z,210.4,212.36,195.75,195.75,NaN,NaN
1981-09-01T13:30:00Z,195.17,195.39,175.03,180.03,NaN,NaN
1981-10-01T13:30:00Z,181.09,195.24,181.09,195.24,NaN,NaN
1981-11-02T14:30:00Z,197.25,201.37,197.16,201.37,NaN,NaN
1981-12-01T14:30:00Z,201.13,201.13,193.91,195.84,NaN,NaN
1982-01-01T14:30:00Z,195.53,195.53,183.41,188.39,NaN,NaN
1982-02-01T14:30:00Z,186.82,188.21,177.49,179.43,NaN,NaN
1982-03-01T14:30:00Z,180.13,180.14,167.92,175.65,NaN,NaN
1982-04-01T14:30:00Z,177.31,185.8,177.31,184.7,NaN,NaN
1982-05-03T13:30:00Z,184.97,188.22,178.37,178.54,NaN,NaN
1982-06-01T13:30:00Z,177.36,177.82,168,171.3,NaN,NaN
1982-07-01T13:30:00Z,170.6,172.11,166.8,167.35,NaN,NaN
1982-08-02T13:30:00Z,168.37,178.17,159.14,177.71,NaN,NaN
1982-09-01T13:30:00Z,177.3,189.04,177.3,187.65,NaN,NaN
1982-10-01T13:30:00Z,188.7,215.29,188.02,212.63,NaN,NaN
1982-11-01T14:30:00Z,214.52,232.61,214.52,232.31,NaN,NaN
1982-12-01T14:30:00Z,235.59,240.7,225.6,232.41,NaN,NaN
1983-01-03T14:30:00Z,230.59,248.35,230.59,248.35,NaN,NaN
1983-02-01T14:30:00Z,248.15,262.44,248.15,260.67,NaN,NaN
1983-03-01T14:30:00Z,261.82,270.89,261.82,270.8,NaN,NaN
1983-04-01T14:30:00Z,268.73,293.06,266.47,293.06,NaN,NaN
1983-05-02T13:30:00Z,290.54,312.05,289.65,308.73,NaN,NaN
1983-06-01T13:30:00Z,307.95,328.91,307.95,318.7,NaN,NaN
1983-07-01T13:30:00Z,321.58,321.58,303.96,303.96,NaN,NaN
1983-08-01T13:30:00Z,302.08,303.86,289.36,292.42,NaN,NaN
1983-09-01T13:30:00Z,294.55,304.56,294.55,296.65,NaN,NaN
1983-10-03T13:30:00Z,294.64,297.42,274.55,274.55,NaN,NaN
1983-11-01T14:30:00Z,273.04,285.67,269.57,285.67,NaN,NaN
1983-12-01T14:30:00Z,286.07,286.07,274.51,278.6,NaN,NaN
1984-01-02T14:30:00Z,277.63,287.9,268.43,268.43,NaN,NaN
1984-02-01T14:30:00Z,266.43,266.43,247.09,252.57,NaN,NaN
1984-03-01T14:30:00Z,253.5,255.54,249.01,250.78,NaN,NaN
1984-04-02T14:30:00Z,249.8,249.8,241.79,247.44,NaN,NaN
1984-05-01T13:30:00Z,250.26,253.01,231.93,232.82,NaN,NaN
1984-06-01T13:30:00Z,235.9,241.11,235.62,239.65,NaN,NaN
1984-07-02T13:30:00Z,237.91,238.29,225.3,229.7,NaN,NaN
1984-08-01T13:30:00Z,233.35,254.81,233.35,254.64,NaN,NaN
1984-09-03T13:30:00Z,251.39,255.6,249.94,249.94,NaN,NaN
1984-10-01T13:30:00Z,247.86,251.18,243.29,247.03,NaN,NaN
1984-11-01T14:30:00Z,247.97,250.54,242.53,242.53,NaN,NaN
1984-12-03T14:30:00Z,240.9,247.35,238.08,247.35,NaN,NaN
1985-01-01T14:30:00Z,247.1,278.9,245.8,278.7,NaN,NaN
1985-02-01T14:30:00Z,277.9,289.3,277.9,284.2,NaN,NaN
1985-03-01T14:30:00Z,285.1,287.8,275.6,279.2,NaN,NaN
1985-04-01T14:30:00Z,279.5,284.8,276.2,280.6,NaN,NaN
1985-05-01T13:30:00Z,280.5,294.8,278.8,290.8,NaN,NaN
1985-06-03T13:30:00Z,291.4,296.2,286.7,296.2,NaN,NaN
1985-07-01T13:30:00Z,295.9,307.9,295.5,301.3,NaN,NaN
1985-08-01T13:30:00Z,302.6,304.6,295.1,297.7,NaN,NaN
1985-09-02T13:30:00Z,297.3,297.7,279.5,280.3,NaN,NaN
1985-10-01T13:30:00Z,280.6,292.8,276.6,292.5,NaN,NaN
1985-11-01T14:30:00Z,293,314,292.5,314,NaN,NaN
1985-12-02T14:30:00Z,313.9,325.6,312.3,324.9,NaN,NaN
1986-01-01T14:30:00Z,325,335.8,322.1,335.8,NaN,NaN
1986-02-03T14:30:00Z,336.1,359.8,335.8,359.5,NaN,NaN
1986-03-03T14:30:00Z,360,374.7,359.1,374.7,NaN,NaN
1986-04-01T14:30:00Z,375.8,393,368,383.2,NaN,NaN
1986-05-01T13:30:00Z,383.2,400.4,381.5,400.2,NaN,NaN
1986-06-02T13:30:00Z,400.7,405.5,391.8,405.5,NaN,NaN
1986-07-01T13:30:00Z,407,411.3,369.1,371.4,NaN,NaN
1986-08-01T13:30:00Z,372.5,383.2,364.4,382.9,NaN,NaN
1986-09-01T13:30:00Z,382.8,384,342.3,350.7,NaN,NaN
1986-10-01T13:30:00Z,352.5,361.6,351.2,360.8,NaN,NaN
1986-11-03T14:30:00Z,361,362.5,349.1,359.6,NaN,NaN
1986-12-01T14:30:00Z,357.4,364.7,347,348.8,NaN,NaN
1987-01-01T14:30:00Z,348.83,396.2,348.81,392.1,NaN,NaN
1987-02-02T14:30:00Z,393.8,425,392,425,NaN,NaN
1987-03-02T14:30:00Z,425,440,422.9,430.1,NaN,NaN
1987-04-01T14:30:00Z,426.3,439.2,407.4,417.8,NaN,NaN
1987-05-01T13:30:00Z,418.6,424.8,404.5,416.5,NaN,NaN
1987-06-01T13:30:00Z,415.5,429.9,413.5,424.7,NaN,NaN
1987-07-01T13:30:00Z,424.5,434.9,423.7,434.9,NaN,NaN
1987-08-03T13:30:00Z,433.3,455.8,431.2,455,NaN,NaN
1987-09-01T13:30:00Z,455.5,456.3,434.9,444.3,NaN,NaN
1987-10-01T13:30:00Z,446.2,453.7,288.5,323.3,NaN,NaN
1987-11-02T14:30:00Z,325.4,328.8,301.6,305.2,NaN,NaN
1987-12-01T14:30:00Z,306.4,333.2,291.9,330.5,NaN,NaN
