Date,House Majority,Senate Majority,Presidency
11/01/2005,2,2,2
12/01/2005,2,2,2
01/01/2006,2,2,2
02/01/2006,2,2,2
03/01/2006,2,2,2
04/01/2006,2,2,2
05/01/2006,2,2,2
06/01/2006,2,2,2
07/01/2006,2,2,2
08/01/2006,2,2,2
09/01/2006,2,2,2
10/01/2006,2,2,2
11/01/2006,2,2,2
12/01/2006,2,2,2
01/01/2007,1,1,2
02/01/2007,1,1,2
03/01/2007,1,1,2
04/01/2007,1,1,2
05/01/2007,1,1,2
06/01/2007,1,1,2
07/01/2007,1,1,2
08/01/2007,1,1,2
09/01/2007,1,1,2
10/01/2007,1,1,2
11/01/2007,1,1,2
12/01/2007,1,1,2
01/01/2008,1,1,2
02/01/2008,1,1,2
03/01/2008,1,1,2
04/01/2008,1,1,2
05/01/2008,1,1,2
06/01/2008,1,1,2
07/01/2008,1,1,2
08/01/2008,1,1,2
09/01/2008,1,1,2
10/01/2008,1,1,2
11/01/2008,1,1,2
12/01/2008,1,1,2
01/01/2009,1,1,1
02/01/2009,1,1,1
03/01/2009,1,1,1
04/01/2009,1,1,1
05/01/2009,1,1,1
06/01/2009,1,1,1
07/01/2009,1,1,1
08/01/2009,1,1,1
09/01/2009,1,1,1
10/01/2009,1,1,1
11/01/2009,1,1,1
12/01/2009,1,1,1
01/01/2010,1,1,1
02/01/2010,1,1,1
03/01/2010,1,1,1
04/01/2010,1,1,1
05/01/2010,1,1,1
06/01/2010,1,1,1
07/01/2010,1,1,1
08/01/2010,1,1,1
09/01/2010,1,1,1
10/01/2010,1,1,1
11/01/2010,1,1,1
12/01/2010,1,1,1
01/01/2011,2,1,1
02/01/2011,2,1,1
03/01/2011,2,1,1
04/01/2011,2,1,1
05/01/2011,2,1,1
06/01/2011,2,1,1
07/01/2011,2,1,1
08/01/2011,2,1,1
09/01/2011,2,1,1
10/01/2011,2,1,1
11/01/2011,2,1,1
12/01/2011,2,1,1
01/01/2012,2,1,1
02/01/2012,2,1,1
03/01/2012,2,1,1
04/01/2012,2,1,1
05/01/2012,2,1,1
06/01/2012,2,1,1
07/01/2012,2,1,1
08/01/2012,2,1,1
09/01/2012,2,1,1
10/01/2012,2,1,1
11/01/2012,2,1,1
12/01/2012,2,1,1
01/01/2013,2,1,1
02/01/2013,2,1,1
03/01/2013,2,1,1
04/01/2013,2,1,1
05/01/2013,2,1,1
06/01/2013,2,1,1
07/01/2013,2,1,1
08/01/2013,2,1,1
09/01/2013,2,1,1
10/01/2013,2,1,1
11/01/2013,2,1,1
12/01/2013,2,1,1
01/01/2014,2,1,1
02/01/2014,2,1,1
03/01/2014,2,1,1
04/01/2014,2,1,1
05/01/2014,2,1,1
06/01/2014,2,1,1
07/01/2014,2,1,1
08/01/2014,2,1,1
09/01/2014,2,1,1
10/01/2014,2,1,1
11/01/2014,2,1,1
12/01/2014,2,1,1
01/01/2015,2,2,1
02/01/2015,2,2,1
03/01/2015,2,2,1
04/01/2015,2,2,1
05/01/2015,2,2,1
06/01/2015,2,2,1
07/01/2015,2,2,1
08/01/2015,2,2,1
09/01/2015,2,2,1
10/01/2015,2,2,1
11/01/2015,2,2,1
12/01/2015,2,2,1
01/01/2016,2,2,1
02/01/2016,2,2,1
03/01/2016,2,2,1
04/01/2016,2,2,1
05/01/2016,2,2,1
06/01/2016,2,2,1
07/01/2016,2,2,1
08/01/2016,2,2,1
09/01/2016,2,2,1
10/01/2016,2,2,1
11/01/2016,2,2,1
12/01/2016,2,2,1
01/01/2017,2,2,2
02/01/2017,2,2,2
03/01/2017,2,2,2
04/01/2017,2,2,2
05/01/2017,2,2,2
06/01/2017,2,2,2
07/01/2017,2,2,2
08/01/2017,2,2,2
09/01/2017,2,2,2
10/01/2017,2,2,2
11/01/2017,2,2,2
12/01/2017,2,2,2
01/01/2018,2,2,2
02/01/2018,2,2,2
03/01/2018,2,2,2
04/01/2018,2,2,2
05/01/2018,2,2,2
06/01/2018,2,2,2
07/01/2018,2,2,2
